,School,City,County,Religion
1644,Royal High School,Simi Valley,ventura,Christian
1645,St. Bonaventure High School,Ventura,ventura,Christian
1646,Santa Clara High School,Oxnard,ventura,Christian
1647,Santa Paula High School,Santa Paula,ventura,Christian
1648,Santa Susana High School,Simi Valley,ventura,Christian
1649,Simi Valley High School,Simi Valley,ventura,Christian
1650,The Thacher School,Ojai,ventura,Christian
1651,Thousand Oaks High School,Thousand Oaks,ventura,Christian
1652,Ventura County Christian School,Ventura,ventura,Christian
1653,Ventura High School,Ventura,ventura,Christian
1654,Villanova Preparatory School,Ojai,ventura,Christian
1655,Vista Real Charter High School,Oxnard,ventura,Christian
1656,Vista Real Charter High School,Santa Paula,ventura,Christian
1657,Vista Real Charter High School,Simi Valley,ventura,Christian
1658,Vista Real Charter High School,Ventura,ventura,Christian
1659,Weil Tennis Academy & College Prep School,Ojai,ventura,Christian
1660,Westlake High School,Westlake Village,ventura,Christian
1661,Cache Creek High School,Yolo,yolo,Christian
1662,Davis Senior High School,Davis,yolo,Christian
1663,Delta High School,Clarksburg,yolo,Christian
1664,Esparto High School,Esparto,yolo,Christian
1665,Leonardo da Vinci High School,Davis,yolo,Christian
1666,Martin Luther King High,Davis,yolo,Christian
1667,Pioneer High School,Woodland,yolo,Christian
1668,River City High School,West Sacramento,yolo,Christian
1669,Winters High School,Winters,yolo,Christian
1670,Woodland High School,Woodland,yolo,Christian
1671,Lindhurst High School,Olivehurst,yuba,Christian
1672,Marysville Charter Academy for the Arts,Marysville,yuba,Christian
1673,Marysville High School,Marysville,yuba,Christian
1674,New Life Christian School,Linda,yuba,Christian
1675,Wheatland High School,Wheatland,yuba,Christian
